"ファイル名","タイトル","概要","重複元ファイル","Good数","Bad数","冒険活劇","ヒーロー","アクション","バトル","ミステリ","サスペンス","ホラー","ロマンス","ラブコメ","ジュブナイル","異世界","ファンタジー","SF","歴史","会話劇","奇妙な味","日常","学園","スポーツ","ギャグ","頭脳戦","伝奇","家族ドラマ","料理","タイムトラベル","知識チート","お仕事","音楽","BL"
"人生再編集社は午前二時に閉まる.txt","人生再編集社は午前二時に閉まる","失くした鍵ではなく、言えなかった謝罪や捨てた勇気を回収する男、黒瀬真。午前二時、派手な若社長・北条アキラに連れられ、存在しない雑居ビルの「人生再編集社」へ踏み込む。依頼は、死期の迫る父が十五年前に削除した「七歳の誕生日」を取り戻すこと。閉店まで残り六分、社員はなぜか真を知っており、封じられた一日の奥からは彼自身のものではない記憶があふれ出す。人生から切り取られたものは、本当に消えたのか。親子の空白を追う奇妙な回収劇が始まる。","",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"休符は六時十七分に鳴る.txt","休符は六時十七分に鳴る","言葉より音を信じる高校一年生・冬木琴葉は、旧校舎の「第零練習室」で、翌日の午後六時十七分に響く音を聴けるメトロノームを見つける。聞こえたのは拍手、崩落音、クラリネット、そして風変わりな打楽器奏者・御影律の告白だった。律に誘われ、学校中の異端児が集う混成楽団〈透明な行進〉へ加わる琴葉。しかし未来の音を変えるには、その選択へ至った記憶を失うという。迫る演奏会で鳴る破局の音を止めれば、二人は互いを覚えていられるのか。","",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"光が死者を眠らせるまで.txt","光が死者を眠らせるまで","大地震の夜、空を裂く光とともに死者たちが起き上がり、無言でFM電波塔を目指し始めた。ラジオ司会者の葉月澪は、亡き父の補聴デバイスを着けた十二歳の息子・蓮を守ろうとする。だが未来から来た機械兵は、午前五時五十六分、蓮が人類を滅ぼす信号を放つと断言。一方、星の護送者は、死者の記憶を束ねる存在〈群夜〉こそ敵だと告げる。まだ何もしていない少年を裁くのか、彼と世界を救う道を探すのか。夜明けまでの電波塔争奪戦が始まる。","",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"八人目の曜日.txt","八人目の曜日","曜日違いで同じ顔をした七人兄弟、校庭を泳ぐ購買部、毎朝転校してくる同級生——異常が日常の高校で、常盤真人だけは「普通」であることを誇っていた。ところが校内放送が、明日の正午に最も普通な生徒を消すと宣告する。友人たちは真人を奇人に仕立てようと大騒ぎ。さらに七人の“曜日”は、過去に排出された普通の生徒たちだと明かす。名簿も記憶も薄れていく中、借り物の奇行ではない自分だけの異常を見つけられるか。平均からはみ出すための、前代未聞の学園サバイバル。","",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"六問目の棺_読み切り小説.txt","六問目の棺","白い密室で向かい合う侵入者・真壁蓮と製薬会社元顧問・御影朔。二人は六つの質問すべてに「はい／いいえ」で答え、そのうち一度だけ嘘をつかなければならない。敗者の告白は検察と被害者へ送られ、勝者だけが二十三人を奪った火災の原本データ〈Iris〉を得る。金庫を開く五桁の数字は、互いに分割された手掛かりと嘘の位置から導くしかない。傷痕に触れる癖、沈黙の長さ、計算された挑発。過去の証言まで武器になる、逃げ場のない六問の頭脳戦。","",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"六時半の家族_読み切り小説.txt","六時半の家族","日曜の夕食、古いテレビが突然映し出したのは、家族を「更新」する謎の番組だった。午後六時半、柴田達夫の母・千鶴は食卓から消え、知らない女性が当然のようにその席へ座る。妻も娘も写真も、最初から彼女が家族だったと告げるのに、猫だけが拒絶する。七時までに、母という役割とは無関係な千鶴自身の特徴を三つ証明できなければ、入れ替わりは永久になる。自分は母の何を知っていたのか。残り三十分、家族の記憶を掘り返す探索が始まる。","",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"十三番目の夕鐘.txt","十三番目の夕鐘","夕方六時、町の鐘は十二回鳴る。骨の内側に響く十三回目を聞いた翌朝、鳴海朝陽以外の誰もが幼なじみ・久世小夜を忘れていた。写真も名簿も彼女を失い、小夜自身の身体まで灰となって消え始める。代々鐘を鋳る祖父は、十三年に一度、一人の名前を捧げて町を守る掟を語る。だが朝陽の青銅片には、忘れられた母と小夜の兄の記憶が眠っていた。日没までに地下の〈最初の鐘〉へ辿り着き、名を食う怪異から小夜を取り戻せるか。忘却に抗う二人の伝奇冒険。","",0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"十三番目の料金所.txt","十三番目の料金所","借金を取り立てる乾壮一郎のもとへ、若い整備士・秋津奈央が黒い通行券を持ち込む。午前零時、債務者が運転し債権者が同乗して十三の料金所を抜ければ、借金は消えるという。券の裏にあったのは、二十七年前に失踪した乾の父の署名。走り出した旧道では、料金所を越すたび元金が減る一方、利息は秒単位で膨らみ、黒い回収車が二人を狙う。父たちが残した数字の罠を暴き、正当な額だけを払い切れるか。午前零時十三分までの、命を担保にした清算ドライブ。","",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"十三秒の依頼人.txt","十三秒の依頼人","未来を予告する装置〈十三窓〉の公開前夜。狙撃手・真壁景は、開発者を午前零時に殺せという依頼を受け、嵐で孤立した観測所へ潜入する。モニターには十三秒後、標的が撃たれて倒れる姿。だが真壁が引き金を引かなくても、密室の男は予告どおり絶命した。射線と逆の傷、一本消えた金属ピン、予告のたび不自然な挙動を見せる照明と扉。記者・榊野由良と真相を追う間にも、画面は次の死を映し、真壁へ新たな依頼を送る。未来を当てる装置に、人間の選択は覆せるのか。十三秒刻みの密室サスペンス。","",0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"十四回目の鐘が鳴る町.txt","十四回目の鐘が鳴る町","三十九歳独身の御厨進の台所へ、コロッケを踏み潰して宇宙人イオが落ちてきた。彼女が持つのは、小学生時代の秘密結社が書いた予言——故郷・七尾坂で鐘が十三回鳴り、進が花嫁へ口づけなければ現実が書き換わる。二十一年ぶりの町では、住民全員が同じ嘘を信じ、同窓会の写真から五人目の友達だけが消えていた。軽口とプリンを燃料に、進は忘れた夏の秘密へ挑む。十四回目の鐘が鳴る前に、町が選んだ都合のよい記憶を覆せるのか。SF怪異ラブコメ。","",0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"午前一時の再配達.txt","午前一時の再配達","四十歳の黒田実へ届いた不在票。品名は、十七年前に恋人へ言えなかった「一緒に行く」という返事だった。午前一時、顔を覚えられない配達員が運ぶ箱を開ければ、選ばなかった人生へ入り直せる。ただし人物、記憶、関係の置換は保証外。鍵を回した先には、かつての恋人と、自分を父と呼ぶ娘が待っていた。欲しかった幸福に馴染むほど、家族写真の隅から“前の父親”が近づいてくる。後悔を受け取ることは、誰の人生を送り返すことなのか。期限二十四時間の選択譚。","",0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"午前三時_冷蔵庫は懺悔する.txt","午前三時、冷蔵庫は懺悔する","木曜午前三時、冷蔵庫が持ち主の秘密を笑う町。その夜、全住民の罪悪感が家庭用良心保冷庫〈メアリー〉へ吸い取られ、誰も悪びれなくなった。満杯になれば町中の後悔が一斉解凍され、社会は“大懺悔渋滞”に陥る。家電修理員・鳴海環は、百三歳の少女博士と時計仕掛けの執事に促され、三センチの身体で冷蔵庫内部へ潜入。無数の後悔瓶の奥には、なぜか環自身の名前と失った弟の記憶があった。午前三時までに故障と自分の秘密を修理できるのか。","",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
"午前四時の投票所.txt","午前四時の投票所","債権回収の下請けで食いつなぐ片桐は、廃業した海辺のホテルへ一台の車を取りに向かう。だが目覚めた宴会場には、市議や元刑事、記者ら九人と、毒針を仕込んだ腕輪が待っていた。三十分ごとの投票で最多票を得た者が「チェックアウト」し、午前四時に残れるのは一人だけ。スクリーンには十二年前に消えた少女の写真と、招待客たちが隠してきた記録が次々と映し出される。なぜ無関係に見える片桐まで選ばれたのか。沈黙も告白も一票に変わる夜、忘れたはずの雨の記憶が彼を追いつめていく。","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"午前零時のラブ・オール.txt","午前零時のラブ・オール","弱い者いじめだけは許さない「鉄拳のタケ」こと神代猛は、閉鎖寸前の市民コートを守るため、青耀学院との決着へ向かう。相手を率いるのは、かつてダブルスを組みながら袂を分かった天才・御影冬牙。殴り合いになるはずの午前零時、壊れた照明と得点板が勝手に灯り、二人の手には捨てたはずのラケットが戻る。始まったのは、一ポイント失うたび大切な記憶を奪われる異様な試合だった。仲間も過去も互いの名前さえ賭け金になるコートで、正反対の二人は最後まで敵でいられるのか。","",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"午前零時の小鬼たち.txt","午前零時の小鬼たち","迷宮都市アステラでは、時計が午前零時の一分間を飛び越える。その夜から止まった時計塔を直すため、駆け出し冒険者ルカは、時務官ミラと小鬼狩りの達人ガルドに連れられ地下十三層へ降りる。待っていたのは、地上を泥と骨で写した小さな町と、彼らの名や癖をまねる無数の小鬼。そしてミラと同じ顔の少女は、三人が何千回も同じ道を来たと告げる。失われた一分に時計が選んでいるものは何か。人間らしい記憶と、今そこにある牙のどちらを信じるのか。夜明けを巻き直す機械の前で、討伐依頼は足元から反転する。","",0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"反対票は六十秒遅れて届く.txt","反対票は六十秒遅れて届く","物理的な結果を六十秒だけ先送りできる配達人・砥上レンは、八年前の水害をめぐる裏帳簿を届ける途中、旧区役所の地下議場へ閉じ込められる。そこを支配する元議長・灰堂は、三秒間の多数決で可決した動作を肉体へ強制する異能の持ち主。灰堂側三人、レンと告発者ミナは二人。票数では初めから負けているうえ、レンの肩にはまだ血を流していない銃創が「後払い」の時を刻む。声、拳、傷を未来へ預けられる枠は三つだけ。絶対多数の手続きを覆し、証拠を赤い境界線の外へ届ける一分間の攻防が始まる。","",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"品名：あなた.txt","品名：あなた","妻を持ったことなどないはずの佐伯圭介に、駅の遺失物係から奇妙な葉書が届く。保管品は「日曜日の朝」。焦げたシナモン、二人分のコーヒー、知らない女性の笑い声――その特徴を見ただけで、胸は失った続きを思い出してしまう。コインロッカーの奥に隠された零番線で受け取ったのは、何も入っていない透明な袋。封を切ると、圭介の部屋に妻・奈緒と過ごした六年の記憶があふれ出す。なぜ大切な日々だけが彼から失われたのか。保管期限が迫るなか、持ち主を名乗る女性が窓口に現れ、「品名」の意味が静かに揺らぎ始める。","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"喝采のない夜に、魔法少女は嘘をつく.txt","喝采のない夜に、魔法少女は嘘をつく","魔法少女《灯標のアルカ》の戦闘映像を一本残らず研究する望月澄香。彼女が望むのは救われることでも隣に立つことでもなく、憧れの少女の視界を自分だけで満たすことだった。ある日、街の時間が止まり、英雄・悪役・死者を一人ずつ選ぶ「終稿戦」が開幕する。観察眼を見込まれ悪役に選ばれた澄香は、人の望みを物語として現実にできる力を得るが、代価は誰かに憧れた記憶。夜明けまでに残せる魔法少女は一人だけ。過去を書き換える権利を求める少女たちと、救うたび嘘を重ねるアルカを前に、最前列の観客は何を書くのか。","",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"喰名様_伝奇ホラー読み切り.txt","喰名様","五年前、雨代村で妹・結良は写真からも戸籍からも家族の記憶からも消えた。ただ一人覚えている十六歳の朔は、亡き祖母の手紙に呼ばれ、名を食う祭りの夜に故郷へ戻る。そこで出会った赤い雨合羽の少女トワは、結良と同じ犬歯を見せながら「その名で呼ぶな」と怯える。鐘が九つ鳴れば、忘れられた者の声が混ざった喰名様が目覚める。血で名を書き、その人だけの記憶を語れば奪われた存在を呼び戻せるというが、村は朔の名を差し出そうとしていた。呼ぶことが救いにも餌にもなる闇の中、兄は妹の名を守り抜けるか。","",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"四つ目の国.txt","四つ目の国","梁王朝亡きあと、天下は三人の仮面の王に裂かれた。秩序とともに自由を奪う鎖王、慈悲の陰で異論を沈める雨王、平等を掲げ略奪を許す焔王。三王には、剣を抜く前に左耳へ触れるという、流浪の剣士・葛城凪と同じ癖があった。三国から同時に誘われた凪の前へ盲目の史官・莢が現れ、三王は「選ばなかった道」を映す星鏡から来たと告げる。彗星が重なる夜、鏡の前で生き残った未来だけが本物になる。国を持たず、なるべく斬らない道を探してきた男は、王となった三つの自分とどの未来を選ぶのか。","",0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"因果鍋ナベキチと七福地下街の夜明け炒飯.txt","因果鍋ナベキチと七福地下街の夜明け炒飯","十三歳のタマキが祖母の食堂で玉ねぎを刻む深夜、厨房忍者が壊れた炊飯器を奪いに来る。六本脚で立ち上がったそれは、二一八八年から来た因果調理器ナベキチ。明日の料理大会で企業料理人・黒峰ゼンが発表する香辛子が、未来から食卓の個性を消すという。敗れれば七福地下街も自動食堂へ再開発される。店を継がず外へ出たいタマキは、それでも祖母の中華鍋を手に出場を決意。食感を交換する箸や香りを言葉にする眼鏡を相棒に、七つの店の朝一番の湯気を集め、まだ誰も食べたことのない炒飯へ挑む。","",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"垂直生活者の手記.txt","垂直生活者の手記","三十三歳の戸籍係・直人は、ある朝、指先が枕から離れなくなった。皮膚には黒い鱗、手首からは白い糸。やがて床より天井が落ち着き、ビルの外壁を自在に歩ける身体へ変わっていく。偶然、転落した作業員を救った映像が拡散されると、世間は彼を正義の味方、害虫、研究対象と好き勝手に名づけ、市役所は「未同定生物」として通報を促す。言葉と人の姿を失う一方で、壁を伝う街の震えだけは鮮明になる直人。すべての助けを求める声には応えられない男が、名前を呼ばれるうちに書き残す、孤独な変身の記録。","",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"境界演算のゼロ・ダイバー.txt","境界演算のゼロ・ダイバー","西暦二一九四年、魔法は願いを数式にして物理法則へ申請する技術となった。術式を一つも使えず落第寸前の鳴瀬朔には、なぜか発動直前の「世界の継ぎ目」だけが聞こえる。都市八万人が仮想世界へ接続する重層祭の夜、画面に現れた白い少女は「鐘が七回鳴ったら空を見るな」と警告する。だが鐘のあと、空には逆さの都市が降り、ログアウトは封じられた。死と喪失を保存データで上書きする計画が午前零時に完成するという。天才術者アカリと組んだ朔は、魔法が始まる前の境界へ潜り、現実と複製都市の狭間を駆ける。","",0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"墜空の鐘_冒険活劇読み切り.txt","墜空の鐘","雲海に浮かぶスズナリ島の浮核が砕け、二千人の暮らしが七十二時間後に天底へ沈む。修理屋の青年ナギは、父の遺した地図を頼りに、墜ちた旧王都の巨大浮核《暁鐘》を取りに行くと宣言する。相棒リンの継ぎはぎ飛行艇で飛び出した二人を追うのは、帝国騎士となった幼なじみセイガ。彼もまた、迫る大嵐から八十万の帝都を救うため同じ鐘を必要としていた。罪人と呼ばれた父たちの過去、空竜の骨が渦巻く嵐、逆さに眠る王都。命を数で選ぶしかない空で、三人は選択肢の外にある答えを探す。","",0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"声の家賃_読み切り小説.txt","声の家賃","二千万円を超す借金と、過去の工事事故への罪悪感を抱える真壁慎司に、全額免除の機会を告げる黒い封筒が届く。指定された廃アパート・雨宮荘に集められた債務者は五人。各自二個の「家賃玉」を部屋へ投じ、最も票の少ない滞納室の住人が集金人を迎える。自分だけでは自室を守れず、一度だけ他人と部屋を交換できる――信頼と裏切りを値踏みするゲームだ。だが板で塞がれた六番目の部屋からは、誰も入れていない玉の音と幼い声が響く。数字さえ何者かに動かされる建物で、慎司は誰に小さな信用を預けるのか。","",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
